Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   7055,319.85,57.58333333,,,,,NGC
NGC   7056,320.55,18.65,UGC 11734,Galaxy,14,,NGC
NGC   7057,321.25,-42.48333333,ESO 287-17,Galaxy,,,NGC
NGC   7058,320.25,50.8,,,,,NGC
NGC   7059,321.85,-60.01666667,ESO 145-5,Galaxy,13,3.2,NGC
NGC   7060,321.475,-42.4,ESO 287-22,Galaxy,,,NGC
NGC   7061,321.85,-49.06666667,ESO 236-13,Galaxy,,1.5,NGC
NGC   7062,320.8,46.38333333,OCL 205,Open Cluster,8.3,7,NGC
NGC   7063,321.1,36.5,OCL 192,Open Cluster,7,8,NGC
NGC   7064,322.25,-52.76666667,ESO 188-9,Galaxy,13,4.1,NGC
NGC   7065,321.675,-7,MCG 1-54-17,Galaxy,,1.4,NGC
NGC   7066,321.55,14.16666667,UGC 11741,Galaxy,15,,NGC
NGC   7067,321.05,48.01666667,OCL 208,Open Cluster,9.7,3,NGC
NGC   7068,321.65,12.21666667,MCG 2-54-27,Galaxy,15,,NGC
NGC   7069,322.025,-1.633333333,UGC 11747,Galaxy,15,,NGC
NGC   7070,322.625,-43.1,ESO 287-28,Galaxy,12.3,2.1,NGC
NGC   7071,321.625,47.95,,,,,NGC
NGC   7072,322.65,-43.15,ESO 287-31,Galaxy,13.9,0.8,NGC
NGC   7073,322.375,-11.46666667,MCG 2-54-10,Galaxy,14,,NGC
NGC   7074,322.375,6.7,ZWG 401. 27,Galaxy,,,NGC
NGC   7075,322.875,-38.6,ESO 343-4,Galaxy,,,NGC
NGC   7076,321.575,62.88333333,PK 101+08.1,Nebula,,2,NGC
NGC   7077,322.475,2.416666667,UGC 11755,Galaxy,14,0.8,NGC
NGC   7078,322.5,12.16666667,M 15,Globular Cluster,6.4,12.3,NGC
NGC   7079,323.125,-44.08333333,ESO 287-36,Galaxy,11.6,2.8,NGC
NGC   7080,322.5,26.71666667,UGC 11756,Galaxy,14,2,NGC
NGC   7081,322.85,2.5,UGC 11759,Galaxy,13,,NGC
NGC   7082,322.35,47.08333333,OCL 209,Open Cluster,7.2,25,NGC
NGC   7083,323.925,-63.9,ESO 107-36,Galaxy,12,4.5,NGC
NGC   7084,322.95,17.41666667,,,,,NGC
NGC   7085,323.075,6.6,MCG 1-55-1,Galaxy,15,,NGC
NGC   7086,322.625,51.58333333,OCL 214,Open Cluster,8.4,9,NGC
NGC   7087,323.65,-40.81666667,ESO 343-8,Galaxy,,,NGC
NGC   7088,323.35,-0.383333333,,,,,NGC
NGC   7089,323.375,-0.816666667,M 2,Globular Cluster,6.5,12.9,NGC
NGC   7090,324.125,-54.55,ESO 188-12,Galaxy,11,7.1,NGC
NGC   7091,323.525,-36.63333333,IC 5114,Galaxy,,,NGC
NGC   7092,323.05,48.43333333,M 39,Open Cluster,4.6,32,NGC
