Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
M      1,83.625,22.01666667,NGC 1952 Crab Nebula,Supernova Remnant,8.4, 6.0x4.0,Messier
M      2,323.375,-0.816666667,NGC 7089  ,Globular Cluster,6.5,12.9,Messier
M      3,205.55,28.38333333,NGC 5272  ,Globular Cluster,6.2,16.2,Messier
M      4,245.9,-26.53333333,NGC 6121  ,Globular Cluster,5.6,26.3,Messier
M      5,229.65,2.083333333,NGC 5904  ,Globular Cluster,5.6,17.4,Messier
M      6,265.025,-32.21666667,NGC 6405 Butterfly Cluster,Open Cluster,5.3,25,Messier
M      7,268.475,-34.81666667,NGC 6475 Ptolemy?s Cluster,Open Cluster,4.1,80,Messier
M      8,270.95,-24.38333333,NGC 6523 Lagoon Nebula,Diffuse Nebula,6, 90x40,Messier
M      9,259.8,-18.51666667,NGC 6333  ,Globular Cluster,7.7,9.3,Messier
M     10,254.275,-4.1,NGC 6254  ,Globular Cluster,6.6,15.1,Messier
M     11,282.775,-6.266666667,NGC 6705 Wild Duck Cluster,Open Cluster,6.3,14,Messier
M     12,251.8,-1.95,NGC 6218  ,Globular Cluster,6.7,14.5,Messier
M     13,250.425,36.46666667,NGC 6205 Hercules Globular Cluster,Globular Cluster,5.8,16.6,Messier
M     14,264.4,-3.25,NGC 6402  ,Globular Cluster,7.6,11.7,Messier
M     15,322.5,12.16666667,NGC 7078  ,Globular Cluster,6.2,12.3,Messier
M     16,274.7,-13.78333333,NGC 6611 Eagle Nebula Cluster,Open Cluster,6.4,7,Messier
M     17,275.2,-16.18333333,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,7,11,Messier
M     18,274.975,-17.13333333,NGC 6613  ,Open Cluster,7.5,9,Messier
M     19,255.65,-26.26666667,NGC 6273  ,Globular Cluster,6.8,13.5,Messier
M     20,270.575,-23.03333333,NGC 6514 Trifid Nebula,Diffuse Nebula,9,28,Messier
M     21,271.15,-22.5,NGC 6531  ,Open Cluster,6.5,13,Messier
M     22,279.1,-23.9,NGC 6656  ,Globular Cluster,5.1,24,Messier
M     23,269.2,-19.01666667,NGC 6494  ,Open Cluster,6.9,27,Messier
M     24,274.6,-18.41666667,NGC 6603 Milky Way Patch,Star Cloud,4.6,90,Messier
M     25,277.925,-19.23333333,IC 4725,Open Cluster,6.5,40,Messier
M     26,281.3,-9.4,NGC 6694  ,Open Cluster,8,15,Messier
M     27,299.9,22.71666667,NGC 6853 Dumbbell Nebula,Planetary Nebula,7.4, 8.0x5.7,Messier
M     28,276.125,-24.86666667,NGC 6626  ,Globular Cluster,6.8,11.2,Messier
M     29,305.975,38.53333333,NGC 6913  ,Open Cluster,7.1,7,Messier
M     30,325.1,-23.18333333,NGC 7099  ,Globular Cluster,7.2,11,Messier
M     31,10.675,41.26666667,NGC 224 Andromeda Galaxy,Spiral Galaxy,3.4, 178x63,Messier
M     32,10.675,40.86666667,NGC 221 Satellite of M31,Elliptical Galaxy,8.1, 8x6,Messier
M     33,23.475,30.65,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,5.7, 73x45,Messier
M     34,40.5,42.78333333,NGC 1039  ,Open Cluster,5.5,35,Messier
M     35,92.225,24.33333333,NGC 2168  ,Open Cluster,5.3,28,Messier
M     36,84.025,34.13333333,NGC 1960  ,Open Cluster,6.3,12,Messier
M     37,88.1,32.55,NGC 2099  ,Open Cluster,6.2,24,Messier
M     38,82.175,35.83333333,NGC 1912  ,Open Cluster,7.4,21,Messier
M     39,323.05,48.43333333,NGC 7092  ,Open Cluster,5.2,32,Messier
M     40,185.55,58.08333333,Winecke 4,Double Star,9 & 9.3,Sep: 49 arcsec,Messier
M     41,101.75,-20.73333333,NGC 2287  ,Open Cluster,4.6,38,Messier
M     42,83.85,-5.45,NGC 1976 Great Orion Nebula,Diffuse Nebula,4, 85x60,Messier
M     43,83.9,-5.266666667,NGC 1982 de Mairan?s Nebula,Diffuse Nebula,9, 20x15,Messier
M     44,130.025,19.98333333,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,3.7,95,Messier
M     45,56.75,24.12,"Pleiades, Subaru, Seven Sisters",Open Cluster,1.6,110,Messier
M     46,115.45,-14.81666667,NGC 2437  ,Open Cluster,6,27,Messier
M     47,114.15,-14.5,NGC 2422  ,Open Cluster,5.2,30,Messier
M     48,123.45,-5.8,NGC 2548  ,Open Cluster,5.5,54,Messier
M     49,187.45,8,NGC 4472  ,Elliptical Galaxy,8.4, 9x7.5,Messier
M     50,105.8,-8.333333333,NGC 2323  ,Open Cluster,6.3,16,Messier
M     51,202.475,47.2,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,8.4, 11x7,Messier
M     52,351.05,61.58333333,NGC 7654  ,Open Cluster,7.3,13,Messier
M     53,198.225,18.16666667,NGC 5024  ,Globular Cluster,7.6,12.6,Messier
M     54,283.775,-30.48333333,NGC 6715  ,Globular Cluster,7.6,9.1,Messier
M     55,295,-30.96666667,NGC 6809  ,Globular Cluster,6.3,19,Messier
M     56,289.15,30.18333333,NGC 6779  ,Globular Cluster,8.3,7.1,Messier
M     57,283.4,33.03333333,NGC 6720 Ring Nebula,Planetary Nebula,8.8, 1.4x1,Messier
M     58,189.425,11.81666667,NGC 4579  ,Spiral Galaxy,9.7, 5.5x4.5,Messier
M     59,190.5,11.65,NGC 4621  ,Elliptical Galaxy,9.6, 5x3.5,Messier
M     60,190.925,11.55,NGC 4649  ,Elliptical Galaxy,8.8, 7x6,Messier
M     61,185.475,4.466666667,NGC 4303  ,Spiral Galaxy,9.7, 6x5.5,Messier
M     62,255.3,-30.11666667,NGC 6266  ,Globular Cluster,6.5,14.1,Messier
M     63,198.95,42.03333333,NGC 5055 Sunflower Galaxy,Spiral Galaxy,8.6, 10x6,Messier
M     64,194.175,21.68333333,NGC 4826 Blackeye Galaxy,Spiral Galaxy,8.5, 9.3x5.4,Messier
M     65,169.725,13.08333333,NGC 3623  ,Spiral Galaxy,9.3, 8x1.5,Messier
M     66,170.05,12.98333333,NGC 3627  ,Spiral Galaxy,8.9, 8x2.5,Messier
M     67,132.6,11.81666667,NGC 2682  ,Open Cluster,6.1,30,Messier
M     68,189.875,-26.75,NGC 4590  ,Globular Cluster,7.8,12,Messier
M     69,277.85,-32.35,NGC 6637  ,Globular Cluster,7.6,7.1,Messier
M     70,280.8,-32.3,NGC 6681  ,Globular Cluster,7.9,7.8,Messier
M     71,298.45,18.78333333,NGC 6838  ,Globular Cluster,8.3,7.2,Messier
M     72,313.375,-12.53333333,NGC 6981,Globular Cluster,9.3,5.9,Messier
M     73,314.75,-12.63333333,NGC 6994  Group of 4 stars,Group/Asterism,9,2.8,Messier
M     74,24.175,15.78333333,NGC 628 ,Spiral Galaxy,9.4, 10.2x9.5,Messier
M     75,301.525,-21.91666667,NGC 6864  ,Globular Cluster,8.5,6,Messier
M     76,25.575,51.56666667,"NGC 650 Little Dumbell, Cork, Butterfly Nebula",Planetary Nebula,10.1, 2.7x1.8,Messier
M     77,40.675,0.016666667,NGC 1068 Cetus A,Spiral Galaxy,8.9, 7x6,Messier
M     78,86.675,0.05,NGC 2068  ,Diffuse Nebula,8.3, 8x6,Messier
M     79,81.125,-24.55,NGC 1904  ,Globular Cluster,7.7,8.7,Messier
M     80,244.25,-22.98333333,NGC 6093  ,Globular Cluster,7.3,8.9,Messier
M     81,148.9,69.06666667,NGC 3031 Bode?s Galaxy,Spiral Galaxy,6.9, 21x10,Messier
M     82,148.95,69.68333333,NGC 3034 Cigar Galaxy,Irregular Galaxy,8.4, 9.x4,Messier
M     83,204.25,-29.86666667,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,7.6, 11x10,Messier
M     84,186.275,12.88333333,NGC 4374  ,Lenticular (S0) Galaxy,9.1,5,Messier
M     85,186.35,18.18333333,NGC 4382  ,Lenticular (S0) Galaxy,9.1, 7.1x5.2,Messier
M     86,186.55,12.95,NGC 4406  ,Lenticular (S0) Galaxy,8.9, 7.5x5.5,Messier
M     87,187.7,12.4,NGC 4486 Virgo A,Elliptical Galaxy,8.6,7,Messier
M     88,188,14.41666667,NGC 4501  ,Spiral Galaxy,9.6, 7x4,Messier
M     89,188.925,12.55,NGC 4552  ,Elliptical Galaxy,9.8,4,Messier
M     90,189.2,13.16666667,NGC 4569  ,Spiral Galaxy,9.5, 9.5x4.5,Messier
M     91,188.85,14.5,NGC 4548  ,Spiral Galaxy,10.2, 5.4x4.4,Messier
M     92,259.275,43.13333333,NGC 6341  ,Globular Cluster,6.4,11.2,Messier
M     93,116.15,-23.86666667,NGC 2447  ,Open Cluster,6,22,Messier
M     94,192.725,41.11666667,NGC 4736  ,Spiral Galaxy,8.2, 7x3,Messier
M     95,161,11.7,NGC 3351  ,Spiral Galaxy,9.7, 4.4x3.3,Messier
M     96,161.7,11.81666667,NGC 3368  ,Spiral Galaxy,9.2, 6x4,Messier
M     97,168.7,55.01666667,NGC 3587 Owl Nebula,Planetary Nebula,9.9, 3.4x3.3,Messier
M     98,183.45,14.9,NGC 4192  ,Spiral Galaxy,10.1, 9.5x3.2,Messier
M     99,184.7,14.41666667,NGC 4254  ,Spiral Galaxy,9.9, 5.4x4.8,Messier
M    100,185.725,15.81666667,NGC 4321  ,Spiral Galaxy,9.3, 7x6,Messier
M    101,210.8,54.35,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,7.9,22,Messier
M    102,226.625,55.76666667,NGC 5866 Spindle Galaxy,Lenticular (S0) Galaxy,9.9, 5.2x2.3,Messier
M    103,23.3,60.7,NGC 581,Open Cluster,7.4,6,Messier
M    104,190,-11.61666667,NGC 4594 Sombrero Galaxy,Spiral Galaxy,8, 9x4,Messier
M    105,161.95,12.58333333,NGC 3379,Elliptical Galaxy,9.3,2,Messier
M    106,184.75,47.3,NGC 4258,Spiral Galaxy,8.4, 19x8,Messier
M    107,248.125,-13.05,NGC 6171,Globular Cluster,7.9,10,Messier
M    108,167.875,55.66666667,NGC 3556,Spiral Galaxy,10, 8x1,Messier
M    109,179.4,53.38333333,NGC 3992,Spiral Galaxy,9.8, 7x4,Messier
M    110,10.1,41.68333333,NGC 205 Satellite of M31,Elliptical Galaxy,8.5, 17x10,Messier
Caldwell      1,11.1,85.33333333,NGC 188,Open Cluster,8.1,14,Caldwell
Caldwell      2,3.25,72.53333333,NGC 40,Planetary Nebula,12.4,0.6,Caldwell
Caldwell      3,184.175,69.46666667,NGC 4236,Spiral Galaxy,9.7, 19 x 7,Caldwell
Caldwell      4,315.45,68.2,NGC 7023,Bright Nebula,--, 18 x 18,Caldwell
Caldwell      5,56.7,68.1,IC 342,Spiral Galaxy,9.2, 18 x 17,Caldwell
Caldwell      6,269.65,66.63333333,NGC 6543,Planetary Nebula,8.1, 0.3/5.8,Caldwell
Caldwell      7,114.225,65.6,NGC 2403,Spiral Galaxy,8.4, 18 x 10,Caldwell
Caldwell      8,22.375,63.3,NGC 559,Open Cluster,9.5,4,Caldwell
Caldwell      9,344.2,62.61666667,Sh2-155,Bright Nebula,--, 50 x 10,Caldwell
Caldwell     10,26.5,61.25,NGC 663,Open Cluster,7.1,16,Caldwell
Caldwell     11,350.175,61.2,NGC 7635,Bright Nebula,--, 15 x 8,Caldwell
Caldwell     12,308.7,60.15,NGC 6946,Spiral Galaxy,8.9, 11 x 10,Caldwell
Caldwell     13,19.775,58.33333333,NGC 457,Open Cluster,6.4,13,Caldwell
Caldwell     14,35,57.13333333,NGC 869/884,Open Cluster,4.3, 30 and 30,Caldwell
Caldwell     15,296.2,50.51666667,NGC 6826,Planetary Nebula,8.8, 0.5/2.3,Caldwell
Caldwell     16,333.825,49.88333333,NGC 7243,Open Cluster,6.4,21,Caldwell
Caldwell     17,8.3,48.5,NGC 147,Elliptical Galaxy,9.3, 13 x 8,Caldwell
Caldwell     18,9.75,48.33333333,NGC 185,Elliptical Galaxy,9.2, 12 x 10,Caldwell
Caldwell     19,328.375,47.26666667,IC 5146,Bright Nebula,--, 12 x 12,Caldwell
Caldwell     20,314.7,44.33333333,NGC 7000,Bright Nebula,--, 120 x 100,Caldwell
Caldwell     21,187.05,44.1,NGC 4449,Irregular Galaxy,9.4, 5 x 4,Caldwell
Caldwell     22,351.475,42.55,NGC 7662,Planetary Nebula,8.3, 0.3/2.2,Caldwell
Caldwell     23,35.65,42.35,NGC 891,Spiral Galaxy,9.9, 14 x 3,Caldwell
Caldwell     24,49.95,41.51666667,NGC 1275,Irregular Galaxy,11.6, 2.6 x 2,Caldwell
Caldwell     25,114.525,38.88333333,NGC 2419,Globular Cluster,10.4,4.1,Caldwell
Caldwell     26,184.375,37.81666667,NGC 4244,Spiral Galaxy,10.2, 16 x 2.5,Caldwell
Caldwell     27,303,38.35,NGC 6888,Bright Nebula,--, 20 x 10,Caldwell
Caldwell     28,29.45,37.68333333,NGC 752,Open Cluster,5.7,50,Caldwell
Caldwell     29,197.725,37.05,NGC 5005,Spiral Galaxy,9.8, 5.4 x 2,Caldwell
Caldwell     30,339.275,34.41666667,NGC 7331,Spiral Galaxy,9.5, 11 x 4,Caldwell
Caldwell     31,79.05,34.26666667,IC 405,Bright Nebula,--, 30 x 19,Caldwell
Caldwell     32,190.525,32.53333333,NGC 4631,Spiral Galaxy,9.3, 15 x 3,Caldwell
Caldwell     33,314.1,31.71666667,NGC 6992/5,Supernova Remnant,--, 60 x 8,Caldwell
Caldwell     34,311.425,30.71666667,NGC 6960,Supernova Remnant,--, 70 x 6,Caldwell
Caldwell     35,195.025,27.98333333,NGC 4889,Elliptical Galaxy,11.4, 3 x 2,Caldwell
Caldwell     36,189,27.96666667,NGC 4559,Spiral Galaxy,9.8, 10 x 5,Caldwell
Caldwell     37,303,26.48333333,NGC 6885,Open Cluster,5.9,7,Caldwell
Caldwell     38,189.075,25.98333333,NGC 4565,Spiral Galaxy,9.6, 16 x 3,Caldwell
Caldwell     39,112.3,20.91666667,NGC 2392,Planetary Nebula,9.2, 0.2/0.7,Caldwell
Caldwell     40,170.025,18.35,NGC 3626,Spiral Galaxy,10.9, 3 x 2,Caldwell
Caldwell     41,66.75,16,none,Open Cluster,0.5,330,Caldwell
Caldwell     42,315.375,16.18333333,NGC 7006,Globular Cluster,10.6,2.8,Caldwell
Caldwell     43,0.825,16.15,NGC 7814,Spiral Galaxy,10.5, 6 x 2,Caldwell
Caldwell     44,346.225,12.31666667,NGC 7479,Spiral Galaxy,11, 4 x 3,Caldwell
Caldwell     45,204.375,8.883333333,NGC 5248,Spiral Galaxy,10.2, 6 x 4,Caldwell
Caldwell     46,99.8,8.733333333,NGC 2261,Bright Nebula,--, 2 x 1,Caldwell
Caldwell     47,308.55,7.4,NGC 6934,Globular Cluster,8.9,5.9,Caldwell
Caldwell     48,137.575,7.033333333,NGC 2775,Spiral Galaxy,10.3, 4.5 x 3,Caldwell
Caldwell     49,98.075,5.05,NGC 2237-9,Bright Nebula,--, 80 x 60,Caldwell
Caldwell     50,98.1,4.866666667,NGC 2244,Open Cluster,4.8,24,Caldwell
Caldwell     51,16.2,2.116666667,IC 1613,Irregular Galaxy,9.3, 12 x 11,Caldwell
Caldwell     52,192.15,-5.8,NGC 4697,Elliptical Galaxy,9.3, 6 x 4,Caldwell
Caldwell     53,151.3,-7.716666667,NGC 3115,Elliptical Galaxy,9.1, 8 x 3,Caldwell
Caldwell     54,120.05,-10.78333333,NGC 2506,Open Cluster,7.6,7,Caldwell
Caldwell     55,316.05,-11.36666667,NGC 7009,Planetary Nebula,8, 0.4/1.6,Caldwell
Caldwell     56,11.75,-11.88333333,NGC 246,Planetary Nebula,10.9,3.8,Caldwell
Caldwell     57,296.225,-14.8,NGC 6822,Irregular Galaxy,8.8, 10 x 9,Caldwell
Caldwell     58,109.45,-15.61666667,NGC 2360,Open Cluster,7.2,13,Caldwell
Caldwell     59,156.2,-18.63333333,NGC 3242,Planetary Nebula,7.8, 0.3/21,Caldwell
Caldwell     60,180.475,-18.86666667,NGC 4038,Spiral Galaxy,10.7, 2.6 x 2,Caldwell
Caldwell     61,180.475,-18.88333333,NGC 4039,Spiral Galaxy,10.7, 3 x 2,Caldwell
Caldwell     62,11.775,-20.76666667,NGC 247,Spiral Galaxy,9.1, 20 x 7,Caldwell
Caldwell     63,337.4,-20.8,NGC 7293,Planetary Nebula,7.3,13,Caldwell
Caldwell     64,109.7,-24.95,NGC 2362,Open Cluster,4.1,8,Caldwell
Caldwell     65,11.9,-25.28333333,NGC 253,Spiral Galaxy,7.1, 25 x 7,Caldwell
Caldwell     66,219.9,-26.53333333,NGC 5694,Globular Cluster,10.2,3.6,Caldwell
Caldwell     67,41.575,-30.28333333,NGC 1097,Spiral Galaxy,9.2, 9 x 7,Caldwell
Caldwell     68,285.475,-36.95,NGC 6729,Bright Nebula,--,1,Caldwell
Caldwell     69,258.425,-37.1,NGC 6302,Planetary Nebula,9.6,0.8,Caldwell
Caldwell     70,13.725,-37.68333333,NGC 300,Spiral Galaxy,8.7, 20 x 13,Caldwell
Caldwell     71,118.075,-38.55,NGC 2477,Open Cluster,5.8,27,Caldwell
Caldwell     72,3.725,-39.18333333,NGC 55,Spiral Galaxy,7.9, 32 x 6,Caldwell
Caldwell     73,78.525,-40.05,NGC 1851,Globular Cluster,7.3,11,Caldwell
Caldwell     74,151.925,-40.43333333,NGC 3132,Planetary Nebula,9.4,0.8,Caldwell
Caldwell     75,246.4,-40.66666667,NGC 6124,Open Cluster,5.8,29,Caldwell
Caldwell     76,253.5,-41.8,NGC 6231,Open Cluster,2.6,15,Caldwell
Caldwell     77,201.375,-43.01666667,NGC 5128,Elliptical Galaxy,7, 18 x 14,Caldwell
Caldwell     78,272,-43.7,NGC 6541,Globular Cluster,6.6,13,Caldwell
Caldwell     79,154.4,-46.41666667,NGC 3201,Globular Cluster,6.7,18,Caldwell
Caldwell     80,201.7,-47.48333333,NGC 5139,Globular Cluster,3.6,36,Caldwell
Caldwell     81,261.375,-48.41666667,NGC 6352,Globular Cluster,8.1,7,Caldwell
Caldwell     82,250.325,-48.76666667,NGC 6193,Open Cluster,5.2,15,Caldwell
Caldwell     83,196.35,-49.46666667,NGC 4945,Spiral Galaxy,8.7, 20 x 4,Caldwell
Caldwell     84,206.6,-51.36666667,NGC 5286,Globular Cluster,7.6,9,Caldwell
Caldwell     85,130.05,-53.06666667,IC 2391,Open Cluster,2.5,50,Caldwell
Caldwell     86,265.175,-53.66666667,NGC 6397,Globular Cluster,5.6,26,Caldwell
Caldwell     87,48.075,-55.21666667,NGC 1261,Globular Cluster,8.4,7,Caldwell
Caldwell     88,226.425,-55.6,NGC 5823,Open Cluster,7.9,10,Caldwell
Caldwell     89,244.725,-57.9,NGC 6087,Open Cluster,5.4,12,Caldwell
Caldwell     90,140.35,-58.31666667,NGC 2867,Planetary Nebula,--,0.2,Caldwell
Caldwell     91,166.6,-58.66666667,NGC 3532,Open Cluster,3,55,Caldwell
Caldwell     92,160.95,-59.86666667,NGC 3372,Bright Nebula,--, 120 x 120,Caldwell
Caldwell     93,287.725,-59.98333333,NGC 6752,Globular Cluster,5.4,20,Caldwell
Caldwell     94,193.4,-60.33333333,NGC 4755,Open Cluster,4.2,10,Caldwell
Caldwell     95,240.925,-60.5,NGC 6025,Open Cluster,5.1,12,Caldwell
Caldwell     96,119.575,-60.86666667,NGC 2516,Open Cluster,3.8,30,Caldwell
Caldwell     97,174.025,-61.61666667,NGC 3766,Open Cluster,5.3,12,Caldwell
Caldwell     98,190.575,-62.96666667,NGC 4609,Open Cluster,6.9,5,Caldwell
Caldwell     99,193.25,-63,none,Dark Nebula,--, 400 x 300,Caldwell
Caldwell    100,174.15,-63.03333333,IC 2944,Open Cluster,4.5,15,Caldwell
Caldwell    101,287.45,-63.85,NGC 6744,Spiral Galaxy,8.3, 16 x 10,Caldwell
Caldwell    102,160.8,-64.4,IC 2602,Open Cluster,1.9,50,Caldwell
Caldwell    103,84.675,-69.1,NGC 2070,Bright Nebula,--, 40 x 25,Caldwell
Caldwell    104,15.8,-70.85,NGC 362,Globular Cluster,6.6,13,Caldwell
Caldwell    105,194.9,-70.88333333,NGC 4833,Globular Cluster,7.3,14,Caldwell
Caldwell    106,6.025,-72.08333333,NGC 104,Globular Cluster,4,31,Caldwell
Caldwell    107,246.45,-72.2,NGC 6101,Globular Cluster,9.3,11,Caldwell
Caldwell    108,186.45,-72.66666667,NGC 4372,Globular Cluster,7.8,19,Caldwell
Caldwell    109,152.375,-80.86666667,NGC 3195,Planetary Nebula,--,0.6,Caldwell
NGC      1,1.825,27.71666667,UGC 57,Galaxy,13,1.9,NGC
NGC      2,1.825,27.68333333,UGC 59,Galaxy,15,1.4,NGC
NGC      3,1.825,8.283333333,UGC 58,Galaxy,14,,NGC
NGC      4,1.85,8.366666667,,Galaxy,,,NGC
NGC      5,1.95,35.35,UGC 62,Galaxy,14,,NGC
NGC      6,2.075,32.5,NGC 20,,,,NGC
NGC      7,2.1,-29.91666667,ESO 409-22,Galaxy,,2.5,NGC
NGC      8,2.2,23.83333333,,Double Star,,,NGC
NGC      9,2.225,23.81666667,UGC 78,Galaxy,15,1.5,NGC
NGC     10,2.15,-33.86666667,ESO 349-32,Galaxy,,2.7,NGC
NGC     11,2.175,37.43333333,UGC 73,Galaxy,14,,NGC
NGC     12,2.175,4.616666667,UGC 74,Galaxy,15,1.9,NGC
NGC     13,2.2,33.43333333,UGC 77,Galaxy,14,2.7,NGC
NGC     14,2.2,15.81666667,UGC 75,Galaxy,12,3,NGC
NGC     15,2.275,21.6,UGC 82,Galaxy,15,,NGC
NGC     16,2.275,27.73333333,UGC 80,Galaxy,12,2.1,NGC
NGC     17,2.75,-12.1,NGC 34,,,,NGC
NGC     18,2.35,27.71666667,,Double Star,,,NGC
NGC     19,2.35,32.83333333,UGC 98,,,,NGC
NGC     20,2.375,33.31666667,NGC 6,Galaxy,15,2,NGC
NGC     21,2.675,32.98333333,NGC 29,Galaxy,14,1.4,NGC
NGC     22,2.45,27.83333333,UGC 80,Galaxy,15,,NGC
NGC     23,2.475,25.91666667,UGC 89,Galaxy,12,2.3,NGC
NGC     24,2.475,-24.96666667,ESO 472-16,Galaxy,11.5,5.5,NGC
NGC     25,2.475,-57.05,ESO 149-19,Galaxy,,,NGC
NGC     26,2.6,25.83333333,UGC 94,Galaxy,14,2.2,NGC
NGC     27,2.625,29,UGC 96,Galaxy,14,,NGC
NGC     28,2.575,-57.01666667,AM 0007-571,Galaxy,,,NGC
NGC     29,2.7,33.35,NGC 21,Galaxy,14,1.8,NGC
NGC     30,2.7,21.95,,Double Star,,,NGC
NGC     31,2.625,-57,ESO 149-20,Galaxy,,,NGC
NGC     32,2.725,18.78333333,,Asterism,,,NGC
NGC     33,2.725,3.666666667,,Double Star,,,NGC
NGC     34,2.775,-12.1,NGC 17,Galaxy,13,,NGC
NGC     35,2.8,-12,MCG 2-1-33,Galaxy,14,,NGC
NGC     36,2.85,6.383333333,UGC 106,Galaxy,15,2.4,NGC
NGC     37,2.825,-56.96666667,ESO 149-22,Galaxy,,,NGC
NGC     38,2.975,-5.6,MCG 1-1-47,Galaxy,13,,NGC
NGC     39,3.075,31.05,UGC 114,Galaxy,14,,NGC
NGC     40,3.25,72.53333333,PK 120+9.1,Planetary Nebula,11,0.6,NGC
NGC     41,3.2,22.03333333,MCG 4-1-39,Galaxy,14,,NGC
NGC     42,3.225,22.1,UGC 118,Galaxy,15,,NGC
NGC     43,3.25,30.9,UGC 120,Galaxy,14,,NGC
NGC     44,3.275,31.28333333,,,,,NGC
NGC     45,3.525,-23.18333333,A 4,Galaxy,10.4,8.1,NGC
NGC     46,3.525,5.983333333,,Star,,,NGC
NGC     47,3.625,-7.183333333,NGC 58,Galaxy,13,,NGC
NGC     48,3.5,48.23333333,UGC 133,Galaxy,15,1.7,NGC
NGC     49,3.575,48.23333333,UGC 136,Galaxy,15,,NGC
NGC     50,3.675,-7.333333333,MCG 1-1-58,Galaxy,,,NGC
NGC     51,3.65,48.25,UGC 138,Galaxy,15,1.8,NGC
NGC     52,3.65,18.55,UGC 140,Galaxy,14,,NGC
NGC     53,3.675,-60.33333333,ESO 111-20,Galaxy,,2.1,NGC
NGC     54,3.775,-7.133333333,MCG 1-1-60,Galaxy,14,,NGC
NGC     55,3.725,-39.18333333,Dunlop 507,Galaxy,8,32.4,NGC
NGC     56,3.85,12.43333333,,,,,NGC
NGC     57,3.85,17.3,UGC 145,Galaxy,13,,NGC
NGC     58,3.625,-7.166666667,NGC 47,,,,NGC
NGC     59,3.875,-21.45,ESO 539-4,Galaxy,13,,NGC
NGC     60,4,-0.3,UGC 150,Galaxy,15,,NGC
NGC     61,4.125,-6.233333333,,Galaxy,15,,NGC
NGC     62,4.275,-13.46666667,MCG 2-1-43,Galaxy,14,,NGC
NGC     63,4.425,11.45,UGC 167,Galaxy,13,1.9,NGC
NGC     64,4.375,-6.85,MCG 1-1-68,Galaxy,14,,NGC
NGC     65,4.775,-22.9,ESO 473-10A,Galaxy,15,,NGC
NGC     66,4.8,-22.95,ESO 473-10,Galaxy,14,,NGC
NGC     67,4.55,30.06666667,V V 166,Galaxy,16,0.4,NGC
NGC     68,4.575,30.06666667,UGC 170,Galaxy,13,1.5,NGC
NGC     69,4.575,30.03333333,MCG 5-1-66,Galaxy,14.8,0.4,NGC
NGC     70,4.6,30.08333333,UGC 174;IC 1539,Galaxy,15,1.7,NGC
NGC     71,4.6,30.06666667,UGC 173;V V 166,Galaxy,13,1.8,NGC
NGC     72,4.625,30.03333333,UGC 176;V V 166,Galaxy,13.4,1.4,NGC
NGC     73,4.7,-15.35,MCG 3-1-26,Galaxy,13,,NGC
NGC     74,4.725,30.05,MCG 5-1-71,Galaxy,16,,NGC
NGC     75,4.875,6.416666667,UGC 182,Galaxy,15,,NGC
NGC     76,4.9,29.93333333,UGC 185,Galaxy,14,,NGC
NGC     77,5,-22.51666667,ESO 473-15,,,,NGC
NGC     78,5.1,0.816666667,,Galaxy,14,,NGC
NGC     79,5.25,22.56666667,MCG 4-2-3,Galaxy,15,,NGC
NGC     80,5.3,22.35,UGC 203,Galaxy,12.1,2.5,NGC
NGC     81,5.3,22.36666667,NPM1G +22.0016,Galaxy,,,NGC
NGC     82,5.35,22.43333333,,Galaxy,14,1.3,NGC
NGC     83,5.35,22.43333333,UGC 206,Galaxy,12.6,1.6,NGC
NGC     84,5.375,22.6,,Galaxy,17,,NGC
NGC     85,5.35,22.5,,Galaxy,15,,NGC
NGC     86,5.375,22.55,MCG 4-2-9,Galaxy,15,,NGC
NGC     87,5.3,-48.63333333,ESO 194-8,Galaxy,,,NGC
NGC     88,5.325,-48.65,ESO 194-10,Galaxy,,,NGC
NGC     89,5.325,-48.68333333,ESO 194-11,Galaxy,,,NGC
NGC     90,5.475,22.41666667,UGC 208,Star,,,NGC
NGC     91,5.45,22.41666667,,Galaxy,15,2.5,NGC
NGC     92,5.375,-48.63333333,ESO 194-12,Galaxy,,,NGC
NGC     93,5.5,22.41666667,UGC 209,Galaxy,14,,NGC
NGC     94,5.55,22.46666667,ZWG 479. 17,Galaxy,15,,NGC
NGC     95,5.55,10.5,UGC 214,Galaxy,12.6,1.9,NGC
NGC     96,5.575,22.55,MCG 4-2-14,Galaxy,17,,NGC
NGC     97,5.6,29.73333333,UGC 216,Galaxy,13,,NGC
NGC     98,5.7,-45.26666667,ESO 242-5,Galaxy,,1.8,NGC
NGC     99,6,15.78333333,UGC 230,Galaxy,14,1.7,NGC
NGC    100,6,16.48333333,UGC 231,Galaxy,,5.8,NGC
NGC    101,5.975,-32.56666667,ESO 350-14,Galaxy,13,,NGC
NGC    102,6.1,-13.95,MCG 2-2-11,Galaxy,14,,NGC
NGC    103,6.325,61.35,OCL 291,Open Cluster,9.8,5,NGC
